Sale_Transaction_ID,Status,Date_Time,Location_Latitude,Location_Longitude,City,Province_State,Country,Customer_ID,Sales_Person_ID,Source_Type
cl6zdli8d0119g4ofqwg8wcjn,COMPLETE,2019-09-29 4:00,,,,,,UnknownCustomer,,Market
cl6zdlicf0125g4ofjl26vlin,COMPLETE,2019-09-29 4:00,,,,,,UnknownCustomer,,Market
cl6zdlign0131g4ofzb6cdvle,COMPLETE,2019-11-02 4:00,,,,,,UnknownCustomer,,Market
cl6zdlil20137g4ofzxy4vmnk,COMPLETE,2019-11-16 5:00,,,,,,UnknownCustomer,,Market
cl6zdlip00143g4ofe9keyrhs,COMPLETE,2019-11-16 5:00,,,,,,UnknownCustomer,,Market
cl6zdlit60149g4of2hrumx6b,COMPLETE,2019-04-26 4:00,,,,,,UnknownCustomer,,Market
cl6zdliy10155g4ofuqe4clgo,COMPLETE,2019-05-11 4:00,,,,,,UnknownCustomer,,Market
cl6zdlj2t0162g4ofta8up4fd,COMPLETE,2019-05-11 4:00,,,,,,UnknownCustomer,,Market
cl6zdlj6s0169g4ofqtw98y7g,COMPLETE,2019-05-16 4:00,,,,,,UnknownCustomer,,Market
cl6zdljaw0175g4ofjw0tk3nl,COMPLETE,2019-06-06 4:00,,,,,,UnknownCustomer,,Market
cl6zdljex0181g4of5wt8fs4c,COMPLETE,2019-07-02 4:00,,,,,,UnknownCustomer,,Market
cl6zdljj00187g4ofbjridfxy,COMPLETE,2019-07-14 4:00,,,,,,UnknownCustomer,,Market
cl6zdljn20194g4ofsmioicyr,COMPLETE,2019-07-14 4:00,,,,,,UnknownCustomer,,Market
cl6zdljrg0200g4of9tk5s2o0,COMPLETE,2019-07-16 4:00,,,,,,UnknownCustomer,,Market
cl6zdljvd0206g4ofj830c1ec,COMPLETE,2019-07-16 4:00,,,,,,UnknownCustomer,,Market
cl6zdljzc0212g4ofcklsuegr,COMPLETE,2019-07-16 4:00,,,,,,UnknownCustomer,,Market
cl6zdlk3l0218g4ofos962bh2,COMPLETE,2019-07-21 4:00,,,,,,UnknownCustomer,,Market
cl6zdlk7n0224g4ofjigs4r28,COMPLETE,2019-07-27 4:00,,,,,,UnknownCustomer,,Market
cl6zdlkbj0230g4ofipnzclp6,COMPLETE,2019-08-19 4:00,,,,,,UnknownCustomer,,Market
cl6zdlkg70236g4of9w97jpp6,COMPLETE,2019-08-29 4:00,,,,,,UnknownCustomer,,Market
