SKU,Name,Type,Variation_Name,Category,Target_Price,Image
BBC1-16,Snake Chain (Fine),VARIATION,16 inch,Chain Necklaces,16,https://i.etsystatic.com/21625319/r/il/0955e6/3470680170/il_340x270.3470680170_8xbi.jpg
BBC1-18,Snake Chain (Fine),VARIATION,18 inch,Chain Necklaces,18,https://i.etsystatic.com/21625319/r/il/0955e6/3470680170/il_340x270.3470680170_8xbi.jpg
BBC1-20,Snake Chain (Fine),VARIATION,20 inch,Chain Necklaces,20,https://i.etsystatic.com/21625319/r/il/0955e6/3470680170/il_340x270.3470680170_8xbi.jpg
BBC1-22,Snake Chain (Fine),VARIATION,22 inch,Chain Necklaces,22,https://i.etsystatic.com/21625319/r/il/0955e6/3470680170/il_340x270.3470680170_8xbi.jpg
BBC1-24,Snake Chain (Fine),VARIATION,24 inch,Chain Necklaces,24,https://i.etsystatic.com/21625319/r/il/0955e6/3470680170/il_340x270.3470680170_8xbi.jpg
BBC2-16,Snake Chain (Thick),VARIATION,16 inch,Chain Necklaces,30,https://i.etsystatic.com/21625319/r/il/82dc94/3525688517/il_340x270.3525688517_ato9.jpg
BBC2-18,Snake Chain (Thick),VARIATION,18 inch,Chain Necklaces,32,https://i.etsystatic.com/21625319/r/il/82dc94/3525688517/il_340x270.3525688517_ato9.jpg
BBC2-20,Snake Chain (Thick),VARIATION,20 inch,Chain Necklaces,34,https://i.etsystatic.com/21625319/r/il/82dc94/3525688517/il_340x270.3525688517_ato9.jpg
BBC2-22,Snake Chain (Thick),VARIATION,22 inch,Chain Necklaces,36,https://i.etsystatic.com/21625319/r/il/82dc94/3525688517/il_340x270.3525688517_ato9.jpg
BBC2-24,Snake Chain (Thick),VARIATION,24 inch,Chain Necklaces,39,https://i.etsystatic.com/21625319/r/il/82dc94/3525688517/il_340x270.3525688517_ato9.jpg
BBC2-30,Snake Chain (Thick),VARIATION,30 inch,Chain Necklaces,46,https://i.etsystatic.com/21625319/r/il/82dc94/3525688517/il_340x270.3525688517_ato9.jpg
